; Map Names
mapname-aqueduct01     	=Bardvig Aqueduct
mapname-highlands02-desc	=The air feels positively electric around these mysterious old monoliths.

mapname-KawaShop        	=Unassuming Hovel

mapname-mountain01      	=Devilsblood Ascent
mapname-mountain01-desc		=This scorched slope is streaked with veins of magma hot enough to melt steel. Only fiery creatures and madmen venture here.

mapname-mountain02     		=Gelligh Foothills
mapname-mountain02-desc		=Hopeful adventurers dreaming of untold riches once flocked here, but the mine shafts dotting these foothills are now stripped bare.

mapname-mountain03     		=Mount Nervanzer
mapname-mountain03-desc		=Peaceful. Quiet. And very cold. This frigid land is perpetually covered in a thick blanket of snow.

mapname-tomb01     			=Ancient Tomb
mapname-tomb01-desc			=The {Ancient-Path} terminates in a sepulcher that predates the {Human} race. What primordial knowledge might be locked away?

mapname-void01     			=Teratoma

mapname-void02     			=Nervanzer Wellspring
mapname-void02-desc			=This hot natural spring once gushed with fresh, clear water, warmed by the earth itself. But {ancient-beast}'s influence has tainted it with a foul corruption.

mapname-void03				=???

mapname-Oasis01     		=Oldebzar
mapname-Oasis01-desc		=One of the oldest markets in the world, {mapname-Oasis01} is a melting pot of {human} and {bzil} cultures.

mapname-Plains01     		=Azure Fields
mapname-Plains01-desc		=This vast savanna of sapphire-blue stretches as far as the eye can see. Wild beasts hide amid the tall grass.

mapname-Plains02     		=Godstear Wastes
mapname-plains02-desc		=An ancient battlefield that was so wracked by destruction that, to this day, very few things are able grow in its wretched soil.

mapname-ship01     			=Drakesmouth Seaway
mapname-ship01-desc			=Haunted by pirates and sea monsters alike, safely navigating this dangerous trade route is no mean feat.

mapname-Swamp01     		=Phougamouth Bogs
mapname-Swamp01-desc		=Any who venture into this mud-choked mire must contend with its frigid, poisonous waters.

mapname-swamp02     		=Screwworm Swamp
mapname-swamp02-desc		=The stench of rot comes not only from the parasite-ridden waters, but also from deep within the surrounding caverns.

mapname-Temple01-city     	=Centina
mapname-Temple01-city-desc	=Welcome to the Arena! Here, you can fight a wide variety of opponents for fame and glory!

mapname-Temple01			=Highlands {Temple}
mapname-Temple02			=Jungle {Temple}
mapname-Temple03			=Desert {Temple}
mapname-Temple04			=Mountain {Temple}

mapname-templeoutside01     	=Scarred Summit
mapname-templeoutside01-desc	=An area seldom visited by any, all sorts of strange beasts and cultists make their nest here...

mapname-Templeoutside02     	=Ekhidna Falls
mapname-Templeoutside02-desc	=The ancient ruins here are slowly but surely being overtaken by the encroaching jungle. The native monsters are fiercely territorial, viciously attacking any intruders.

mapname-Templeoutside03     	=Baaz Island
mapname-Templeoutside03-desc	=This island was sacred to the {Bzil} in ancient times, but nowadays it's only home to abandoned ruins.

mapname-town2					=Thespeiros

; Story map names
map-ImmortalCity				=Illuster
mapname-kawacity				=Gogombob City
mapname-kawacity01				={mapname-kawacity}
mapname-kawacity01-desc			=An old, remote {Kawa} city built at the base of an active volcano, it hides many ancient secrets. {Arbiters} rarely venture here, making it a popular target for monsters and bandits.

; wrappers and convenience
illuster		={map-ImmortalCity}
centina 		={mapname-Temple01-city}

